Year,Age,Net Cash,Cash Generated,Taxable Income,Tax Payable,Net Worth,Survival Chances
2022,60,23688.86,24236.22,20101.28,547.36,396450.82,90729.0
2023,61,26179.47,27674.32,23397.52,1494.85,407291.56,90084.0
2024,62,26614.45,28208.32,23830.50,1593.87,419297.81,89385.0
2025,63,27161.86,28878.32,24358.64,1716.46,431680.23,88626.0
2026,64,27709.26,29548.32,24886.78,1839.06,444433.28,87802.0
2027,65,33652.74,34843.19,30035.93,1190.45,459647.40,86908.0
2028,66,36504.82,38779.24,33830.12,2274.42,472191.37,85938.0
2029,67,37091.52,39501.64,34406.79,2410.12,486087.98,84886.0
2030,68,37678.24,40224.04,34983.46,2545.80,500412.01,83744.0
2031,69,38291.54,40984.52,35598.22,2692.98,515163.91,82507.0
2032,70,38990.23,41842.92,36270.06,2852.69,530356.12,81167.0
